,dugaair
2013-01-01,1.33
2013-01-02,1.2
2013-01-03,1.3
2013-01-04,1.46
2013-01-05,1.75
2013-01-06,1.58
2013-01-07,1.7
2013-01-08,1.65
2013-01-09,1.7
2013-01-10,1.55
2013-01-11,1.48
2013-01-12,1.56
2013-01-13,1.55
2013-01-14,1.55
2013-01-15,1.55
2013-01-16,1.2
2013-01-17,1.25
2013-01-18,1.3
2013-01-19,1.25
2013-01-20,1.3
2013-01-21,1.25
2013-01-22,1.3
2013-01-23,1.25
2013-01-24,1.55
2013-01-25,1.41
2013-01-26,1.51
2013-01-27,1.56
2013-01-28,1.58
2013-01-29,1.48
2013-01-30,1.35
2013-01-31,1.41
2013-02-01,1.45
2013-02-02,2.28
2013-02-03,1.6
2013-02-04,1.45
2013-02-05,1.45
2013-02-06,1.58
2013-02-07,1.45
2013-02-08,1.65
2013-02-09,1.86
2013-02-10,1.9
2013-02-11,1.55
2013-02-12,1.8
2013-02-13,1.5
2013-02-14,1.46
2013-02-15,1.55
2013-02-16,1.5
2013-02-17,1.57
2013-02-18,1.15
2013-02-19,1.43
2013-02-20,1.4
2013-02-21,1.29
2013-02-22,1.65
2013-02-23,1.51
2013-02-24,1.5
2013-02-25,1.31
2013-02-26,1.41
2013-02-27,1.41
2013-02-28,1.55
2013-03-01,1.43
2013-03-02,1.45
2013-03-03,2.28
2013-03-04,1.6
2013-03-05,1.45
2013-03-06,1.45
2013-03-07,1.58
2013-03-08,1.45
2013-03-09,1.65
2013-03-10,1.86
2013-03-11,1.9
2013-03-12,1.55
2013-03-13,1.8
2013-03-14,1.5
2013-03-15,1.63
2013-03-16,1.45
2013-03-17,1.43
2013-03-18,1.58
2013-03-19,1.58
2013-03-20,1.65
2013-03-21,1.35
2013-03-22,1.25
2013-03-23,1.35
2013-03-24,1.26
2013-03-25,1.26
2013-03-26,1.28
2013-03-27,1.55
2013-03-28,1.5
2013-03-29,1.45
2013-03-30,1.4
2013-03-31,1.3
2013-04-01,1.38
2013-04-02,1.35
2013-04-03,1.26
2013-04-04,1.28
2013-04-05,1.26
2013-04-06,1.35
2013-04-07,1.43
2013-04-08,1.5
2013-04-09,1.31
2013-04-10,1.41
2013-04-11,1.41
2013-04-12,1.55
2013-04-13,1.88
2013-04-14,1.7
2013-04-15,1.71
2013-04-16,1.61
2013-04-17,1.7
2013-04-18,1.6
2013-04-19,1.55
2013-04-20,2.6
2013-04-21,2.23
2013-04-22,2.33
2013-04-23,1.48
2013-04-24,1.56
2013-04-25,1.55
2013-04-26,1.55
2013-04-27,1.55
2013-04-28,1.41
2013-04-29,1.51
2013-04-30,1.56
2013-05-01,1.1
2013-05-02,1.0
2013-05-03,1.0
2013-05-04,0.93
2013-05-05,1.1
2013-05-06,1.06
2013-05-07,0.93
2013-05-08,0.93
2013-05-09,1.03
2013-05-10,1.0
2013-05-11,0.9
2013-05-12,1.65
2013-05-13,1.35
2013-05-14,1.25
2013-05-15,1.35
2013-05-16,1.26
2013-05-17,1.26
2013-05-18,1.28
2013-05-19,1.26
2013-05-20,1.26
2013-05-21,1.53
2013-05-22,1.25
2013-05-23,1.4
2013-05-24,1.55
2013-05-25,0.16
2013-05-26,1.6
2013-05-27,1.7
2013-05-28,1.55
2013-05-29,1.85
2013-05-30,1.75
2013-05-31,1.65
2013-06-01,1.8
2013-06-02,1.5
2013-06-03,1.46
2013-06-04,1.55
2013-06-05,1.5
2013-06-06,1.57
2013-06-07,1.15
2013-06-08,1.43
2013-06-09,1.4
2013-06-10,1.29
2013-06-11,1.31
